"Place","State","Country","EstimateLow","EstimateHigh","Estimate3","DiffDate","Source1","Source2","Source3","Location","FullLocation","Source3Link","Source2Link","Source1Link"
"Total US","","","3,272,319","4,854,051","","",NA,NA,NA,NA,NA,NA,NA,NA
"Int'l (partial; not counted in US total):","","","261,461","351,702","","",NA,NA,NA,NA,NA,NA,NA,NA
"Total Towns & Cities (US)","","","643","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Abilene","Texas","United States","200","200","","","Source 1",NA,NA,"Abilene, Texas","Abilene, Texas, United States",NA,NA,"http://www.reporternews.com/story/news/local/2017/01/21/hundreds-march-abilene-city-hall-womens-rights/96858224/"
"Accident","Maryland","United States","54","54","","","Source 1 :  Twitter; on-site witness ",NA,NA,"Accident, Maryland","Accident, Maryland, United States",NA,NA,NA
"Adak","Alaska","United States","10","10","","","Source 1 :  adn.com",NA,NA,"Adak, Alaska","Adak, Alaska, United States",NA,NA,NA
"Adrian","Michigan","United States","150","150","","","Source 1","Source 2",NA,"Adrian, Michigan","Adrian, Michigan, United States",NA,"http://www.lenconnect.com/news/20170122/marches-in-adrian-across-country-express-distaste-for-new-leader","http://www.lenconnect.com/news/20170122/marches-in-adrian-across-country-express-distaste-for-new-leader"
"Ajo","Arizona","United States","250","250","","","Source 1",NA,NA,"Ajo, Arizona","Ajo, Arizona, United States",NA,NA,"https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Fwomenactnow%2Fposts%2F316622398732847&width=500"
"Alameda","California","United States","8","8","","","Source 1 :  FB",NA,NA,"Alameda, California","Alameda, California, United States",NA,NA,NA
"Alamosa","Colorado","United States","350","350","","","Source 1",NA,NA,"Alamosa, Colorado","Alamosa, Colorado, United States",NA,NA,"https://twitter.com/zepol/status/823234973935239172"
"Albany","California","United States","500","500","","","Source 1","Source 2 :  Albany PD (reported via google form)",NA,"Albany, California","Albany, California, United States",NA,NA,"https://twitter.com/ben_silverman/status/823032391841132545"
"Albany","New York","United States","7,000","9,000","","","Source 1","Source 2 :  FB",NA,"Albany, New York","Albany, New York, United States",NA,NA,"http://www.timesunion.com/local/article/Albany-activists-Inaugurate-Resistance-on-10873758.php"
"Alexandria","Virginia","United States","17","17","","","Source 1",NA,NA,"Alexandria, Virginia","Alexandria, Virginia, United States",NA,NA,"https://twitter.com/TinaPStacy/status/823226044643680257"
"Albuquerque","New Mexico","United States","3,000","15,000","","","Source 1","Source 2","Source 3","Albuquerque, New Mexico","Albuquerque, New Mexico, United States","https://twitter.com/AthertonKD/status/823215168423235584","https://twitter.com/PatDavisNM/status/822931494662389760","http://www.koat.com/article/thousands-fill-civic-plaza-for-womens-rally/8626736"
"Alliance","Nebraska","United States","100","150","","","Source 1 :  eyewtiness onsite w/ headcount",NA,NA,"Alliance, Nebraska","Alliance, Nebraska, United States",NA,NA,NA
"Almanor West","California","United States","4","4","","","Source 1 :  eyewitness; picture",NA,NA,"Almanor West, California","Almanor West, California, United States",NA,NA,NA
"Alpine","Texas","United States","96","96","","","Source 1",NA,NA,"Alpine, Texas","Alpine, Texas, United States",NA,NA,"https://twitter.com/sarahmvasquez/status/823189717659176960"
"Altoona","Pennsylvania","United States","","","","","Source 1",NA,NA,"Altoona, Pennsylvania","Altoona, Pennsylvania, United States",NA,NA,"http://www.wearecentralpa.com/news/folks-join-together-for-local-womens-march/643821533"
"Amarillo","Texas","United States","600","700","","","Source 1","Source 2",NA,"Amarillo, Texas","Amarillo, Texas, United States",NA,"http://www.myhighplains.com/news/hundreds-gather-for-womens-march-in-amarillo/643851067","https://www.texastribune.org/2017/01/21/thousands-expected-participate-texas-womens-marche/"
"Amelia Island","Florida","United States","700","1,367","","","Source 1","Source 2","Source 3","Amelia Island, Florida","Amelia Island, Florida, United States","http://www.ncflindependent.com/2017/01/21/standing-in-solidarity-with-the-womens-march-on-washington/","https://twitter.com/wideofthepost/status/823077871795261440","http://www.firstcoastnews.com/news/womens-march-makes-its-way-to-the-first-coast/389706372"
"Anacortes","Washington","United States","1,200","1,200","","1","Source 1",NA,NA,"Anacortes, Washington","Anacortes, Washington, United States",NA,NA,"http://www.goskagit.com/skagit/hundreds-participate-in-anacortes-women-s-march/article_4117590e-285b-565e-acd0-1ea4e7826160.html"
"Anchorage","Alaska","United States","2,000","3,500","","","Source 1","Source 2","Source 3","Anchorage, Alaska","Anchorage, Alaska, United States","http://www.ktuu.com/content/news/Thousands-of-Alaskans-show-up-for-Womens-March-in-Anchorage-411431025.html","https://twitter.com/julia_omalley/status/822905531316649984","https://www.adn.com/alaska-news/2017/01/21/large-crowd-attends-womens-march-on-anchorage-in-solidarity-with-national-events/"
"Angola","Indiana","United States","24","60","","","Source 1","Source 2",NA,"Angola, Indiana","Angola, Indiana, United States",NA,"http://kpcnews.com/news/latest/heraldrepublican/","http://wane.com/2017/01/21/womens-marches-in-allen-and-steuben-county-protest-trump/"
"Ann Arbor","Michigan","United States","11,000","11,000","","","Source 1",NA,NA,"Ann Arbor, Michigan","Ann Arbor, Michigan, United States",NA,NA,"http://www.mlive.com/news/ann-arbor/index.ssf/2017/01/more_than_6000_flood_streets_o.html"
"Annapolis","Maryland","United States","1,600","1,600","","","Source 1",NA,NA,"Annapolis, Maryland","Annapolis, Maryland, United States",NA,NA,"http://www.capitalgazette.com/news/annapolis/ph-ac-cn-annapolis-womens-march-0122-20170121-story.html"
"Annville","Pennsylvania","United States","30","30","","","Source 1","Source 2 :  onsite eyewitness via google form",NA,"Annville, Pennsylvania","Annville, Pennsylvania, United States",NA,NA,"http://www.ldnews.com/videos/news/2017/01/21/watch-voices-women's-march-annville/96901782/"
"Appleton","Wisconsin","United States","3","3","","","Source 1","Source 2",NA,"Appleton, Wisconsin","Appleton, Wisconsin, United States",NA,"http://www.postcrescent.com/story/news/local/2017/01/21/appleton-woman-stands-womens-march/96894178/","http://www.sheboyganpress.com/story/news/local/2017/01/21/appleton-woman-stands-womens-march/96894178/"
"Arden","Delaware","United States","40","50","","","Source 1 :  onsite ewewitness via google form; did headcount","Source 2 :  FB",NA,"Arden, Delaware","Arden, Delaware, United States",NA,NA,NA
"Arlington","Virginia","United States","","","","",NA,NA,NA,"Arlington, Virginia","Arlington, Virginia, United States",NA,NA,NA
"Asbury Park","New Jersey","United States","6,000","6,000","","","Source 1",NA,NA,"Asbury Park, New Jersey","Asbury Park, New Jersey, United States",NA,NA,"https://twitter.com/JuliaJHobbs/status/822955160116793344"
"Asheville","North Carolina","United States","7,000","10,000","","","Source 1","Source 2",NA,"Asheville, North Carolina","Asheville, North Carolina, United States",NA,"http://wlos.com/news/local/photo-gallery-the-womens-march-on-asheville","http://wlos.com/news/local/photo-gallery-the-womens-march-on-asheville"
"Ashland","Oregon","United States","15,000","15,000","","","Source 1",NA,NA,"Ashland, Oregon","Ashland, Oregon, United States",NA,NA,"http://www.oregonlive.com/trending/2017/01/womens_march_oregon_ashland_ph.html"
"Aspen","Colorado","United States","200","1,000","","","Source 1","Source 2",NA,"Aspen, Colorado","Aspen, Colorado, United States",NA,"https://twitter.com/SarahGoTrillIum/status/823018327316566016","http://www.aspendailynews.com/section/home/174009"
"Astoria","Oregon","United States","1,300","1,600","","","Source 1","Source 2",NA,"Astoria, Oregon","Astoria, Oregon, United States",NA,"http://www.kast1370.com/index.php?option=com_content&view=article&id=4381:millions-march-against-trump-policies&catid=17&Itemid=101","http://www.dailyastorian.com/Local_News/20170121/hundreds-march-in-astoria-to-counter-trump"
"Athens","Georgia","United States","700","5,000","","","Source 1","Source 2 :  FB",NA,"Athens, Georgia","Athens, Georgia, United States",NA,NA,"http://onlineathens.com/slideshow/2017-01-21/photos-athens-womens-march#slide-1"
"Athens","Ohio","United States","300","500","","","Source 1",NA,NA,"Athens, Ohio","Athens, Ohio, United States",NA,NA,"http://www.athensnews.com/news/local/hundreds-take-to-athens-streets-to-protest-trump-two-party/article_a05f8d96-a9cc-11e6-adc2-afe09ec722c0.html"
"Atlanta","Georgia","United States","60,000","63,000","","","Source 1","Source 2",NA,"Atlanta, Georgia","Atlanta, Georgia, United States",NA,"http://www.nbcnews.com/storyline/inauguration-2017/women-s-marches-held-around-world-solidarity-d-c-protest-n710331","http://www.ajc.com/news/state--regional-govt--politics/new-police-estimate-000-atlanta-the-march-continues-the-capitol/PlaULPX2mykkjcHk799zLP/"
"Augusta","Georgia","United States","600","600","","","Source 1","Source 2",NA,"Augusta, Georgia","Augusta, Georgia, United States",NA,"http://www.wrdw.com/content/news/Hundreds-turn-out-for-Augustas-Women-Solidarity-March-411427215.html","http://chronicle.augusta.com/news/2017-01-21/hundreds-participate-augusta-solidarity-march"
"Augusta","Maine","United States","5,000","10,000","","","Source 1","Source 2",NA,"Augusta, Maine","Augusta, Maine, United States",NA,"http://bangordailynews.com/2017/01/21/news/state/marchers-flock-to-maine-cities-to-stand-up-to-trump/","http://www.pressherald.com/2017/01/21/thousands-converge-on-augusta-for-womens-march-on-maine-rally/"
"Austin","Texas","United States","33,000","72,000","","","Source 1 :  organizer ran out of stickers after handing out 33k via google form","Source 2","Source 3 :  72k counted by organizers' crowd counters; used grid/density techniques, via google form","Austin, Texas","Austin, Texas, United States",NA,"http://www.statesman.com/news/local/police-000-attended-women-march-austin/QB7NhwYSb5gPb1bgooFcFI/",NA
"Avalon","California","United States","44","44","","","Source 1",NA,NA,"Avalon, California","Avalon, California, United States",NA,NA,"https://twitter.com/lisakate111/status/823018370094071808"
"Bailey","Colorado","United States","5","5","","","Source 1",NA,NA,"Bailey, Colorado","Bailey, Colorado, United States",NA,NA,"https://m.facebook.com/story.php?story_fbid=10211258104266149&id=1165571591"
"Bainbridge Island","Washington","United States","200","350","","","Source 1 :  onsite eyewitness; headcount","Source 2 :  onsite eyewitness; headcount",NA,"Bainbridge Island, Washington","Bainbridge Island, Washington, United States",NA,NA,NA
"Bakersfield","California","United States","88","150","","","Source 1","Source 2 :  onsite eyewitness; headcount","Source 3 :  RSVP on FB group","Bakersfield, California","Bakersfield, California, United States",NA,NA,"http://bakersfieldnow.com/news/local/local-women-join-millions-more-across-the-nation-for-womens-equality"
"Baltimore","Maryland","United States","5,000","5,000","","","Source 1",NA,NA,"Baltimore, Maryland","Baltimore, Maryland, United States",NA,NA,"http://www.baltimoresun.com/news/maryland/bs-md-baltimore-sister-march-20170121-story.html"
"Bar Harbor","Maine","United States","50","55","","","Source 1 :  Eyewitness on site",NA,NA,"Bar Harbor, Maine","Bar Harbor, Maine, United States",NA,NA,NA
"Bandon","Oregon","United States","70","70","","","Source 1 :  FB",NA,NA,"Bandon, Oregon","Bandon, Oregon, United States",NA,NA,NA
"Bayfield","Wisconsin","United States","427","427","","","Source 1 :  FB",NA,NA,"Bayfield, Wisconsin","Bayfield, Wisconsin, United States",NA,NA,NA
"Beaufort","North Carolina","United States","11","11","","","Source 1 :  onsite eyewitness; photograph",NA,NA,"Beaufort, North Carolina","Beaufort, North Carolina, United States",NA,NA,NA
"Beaumont","Texas","United States","300","300","","","Source 1 :  FB",NA,NA,"Beaumont, Texas","Beaumont, Texas, United States",NA,NA,NA
"Beaver","Pennsylvania","United States","275","300","","","Source 1 :  onsite eyewitness w/ headcount","Source 2",NA,"Beaver, Pennsylvania","Beaver, Pennsylvania, United States",NA,"http://www.timesonline.com/news/local_news/hundreds-gather-outside-the-beaver-county-courthouse-to-stand-up/collection_3d1207ac-e03e-11e6-a121-c7403563e763.html#1",NA
"Beaver Island","Michigan","United States","18","22","","","Source 1 :  Onsite eyewitness; headcount",NA,NA,"Beaver Island, Michigan","Beaver Island, Michigan, United States",NA,NA,NA
"Bellingham","Washington","United States","5,000","6,000","10,000","","Source 1","Source 2","Source 3","Bellingham, Washington","Bellingham, Washington, United States","http://edhayes89.wixsite.com/aerial-photography/page?lightbox=image_jdf","https://t.co/iyjFHSXHEq","https://t.co/iyjFHSXHEq"
"Bemidji","Minnesota","United States","250","500","600","","Source 1","Source 2 :  onsite eyewitness headcount",NA,"Bemidji, Minnesota","Bemidji, Minnesota, United States",NA,NA,"http://www.mprnews.org/story/2017/01/21/photos-around-minnesota-women-and-men-march-for-womens-rights"
"Bend","Oregon","United States","3,000","5,000","","","Source 1","Source 2",NA,"Bend, Oregon","Bend, Oregon, United States",NA,"http://www.ktvz.com/news/thousands-march-in-bend-to-protest-trump-policies/284779764","http://www.bendbulletin.com/home/5002977-151/thousands-in-bend-join-international-womens-march"
"Bennington","Vermont","United States","75","125","","","Source 1 :  Eyewitness on site",NA,NA,"Bennington, Vermont","Bennington, Vermont, United States",NA,NA,NA
"Bentonville","Arkansas","United States","300","600","","","Source 1 :  onsite eyewitness; headcount",NA,NA,"Bentonville, Arkansas","Bentonville, Arkansas, United States",NA,NA,NA
"Berkeley","California","United States","200","1,000","","1","Source 1","Source 2 :  Eyewitness w/ photos","Source 3","Berkeley, California","Berkeley, California, United States","http://www.berkeleyside.com/2017/01/22/russian-prankster-organizes-fake-protest-uc-berkeley-hundreds-march-anyway/",NA,"http://www.dailycal.org/2017/01/21/berkeley-community-joins-millions-around-world-participating-womens-marches/"
"Bethel","Alaska","United States","40","100","","","Source 1","Source 2","Source 3","Bethel, Alaska","Bethel, Alaska, United States","https://jackpineradicals.com/boards/topic/womens-march-in-gustavus-alaska/","http://kyuk.org/post/slideshow-bethel-protesters-march-solidarity-women-worldwide#stream/0","https://www.adn.com/slideshow/visual/2017/01/21/thousands-hit-the-streets-for-womens-march-events-in-alaska/"
"Bethlehem","Connecticut","United States","2","2","","","Source 1",NA,NA,"Bethlehem, Connecticut","Bethlehem, Connecticut, United States",NA,NA,"https://twitter.com/Fontaine6Mary/status/823915255327838211"
"Bethlehem","Pennsylvania","United States","500","540","","","Source 1","Source 2","Source 3 :  google form statement by organizer re signature counts","Bethlehem, Pennsylvania","Bethlehem, Pennsylvania, United States",NA,"http://www.lehighvalleylive.com/bethlehem/index.ssf/2017/01/bethlehem_joins_nation_in_rall.html#incart_river_home","http://www.mcall.com/news/breaking/mc-women--march-20170121-story.html"
"Bettendorf","Iowa","United States","300","800","","","Source 1","Source 2",NA,"Bettendorf, Iowa","Bettendorf, Iowa, United States",NA,"http://www.ourquadcities.com/news/qc-equality-rally-packs-local-union-hall/643846922","http://qctimes.com/news/local/hall-overflows-with-women-s-rally-participants/article_03dc35fb-bb39-54b5-bce3-b2c275cafaff.html"
"Beverly Hills","California","United States","250","300","","","Source 1 :  onsite eyewitness; headcount w photos via google form",NA,NA,"Beverly Hills, California","Beverly Hills, California, United States",NA,NA,NA
"Binghamton","New York","United States","2,000","3,000","","","Source 1 :  FB","Source 2",NA,"Binghamton, New York","Binghamton, New York, United States",NA,"http://www.pressconnects.com/story/news/local/new-york/2017/01/21/thousands-protest-trump-agenda-binghamton-womens-march/96887770/",NA
"Birmingham","Alabama","United States","5,000","10,000","","","Source 1","Source 2",NA,"Birmingham, Alabama","Birmingham, Alabama, United States",NA,"https://twitter.com/JackJacobs_/status/822938968073404416","http://www.al.com/news/birmingham/index.ssf/2017/01/thousands_parade_through_birmi.html#incart_river_mobileshort_home"
"Bishop","California","United States","600","600","","","Source 1 :  FB",NA,NA,"Bishop, California","Bishop, California, United States",NA,NA,NA
"Bismarck","North Dakota","United States","500","500","","","Source 1","Source 2",NA,"Bismarck, North Dakota","Bismarck, North Dakota, United States",NA,"http://www.inforum.com/news/4203619-larger-expected-nd-capitol-womens-march-calls-solidarity","http://www.grandforksherald.com/news/4203619-larger-expected-nd-capitol-womens-march-calls-solidarity"
"Black Mountain","North Carolina","United States","250","400","","","Source 1 :  onsite eyewitness / photographer","Source 2 :  FB",NA,"Black Mountain, North Carolina","Black Mountain, North Carolina, United States",NA,NA,NA
"Block Island","Rhode Island","United States","60","80","","","Source 1 :  onsite eyewtiness took head count via google form",NA,NA,"Block Island, Rhode Island","Block Island, Rhode Island, United States",NA,NA,NA
"Bloomsburg","Pennsylvania","United States","40","60","","","Source 1","Source 2","Source 3","Bloomsburg, Pennsylvania","Bloomsburg, Pennsylvania, United States","http://wnep.com/2017/01/21/womens-march-in-bloomsburg-displays-countrys-divide/","https://twitter.com/t_l_d_a/status/823253795345993728","https://twitter.com/MzHokie/status/823054470728810496"
"Bluff","Utah","United States","48","48","","","Source 1 :  onsite eyewitness with headcount via google form",NA,NA,"Bluff, Utah","Bluff, Utah, United States",NA,NA,NA
"Boise","Idaho","United States","5,000","5000","","","Source 1",NA,NA,"Boise, Idaho","Boise, Idaho, United States",NA,NA,"http://www.idahostatesman.com/news/local/article127913309.html"
"Borrego Springs","California","United States","140","150","","","Source 1 :  onsite eyewitness who did headcount","Source 2",NA,"Borrego Springs, California","Borrego Springs, California, United States",NA,"https://www.youtube.com/watch?v=dkgAdo--RL8",NA
"Boston","Massachusetts","United States","175,000","175,000","","","Source 1","Source 2",NA,"Boston, Massachusetts","Boston, Massachusetts, United States",NA,"http://www.bostonglobe.com/metro/2017/01/21/thousands-protesters-expected-join-boston-women-march-saturday/uAWNwH9R5FHltkqyQNzeFL/story.html","http://whdh.com/news/175000-rally-on-boston-common-for-womens-march/"
"Bozeman","Montana","United States","13","13","","","Source 1","Source 2 :  onsite eyewitness vis google form with photo + headcount",NA,"Bozeman, Montana","Bozeman, Montana, United States",NA,NA,"https://twitter.com/MadamHerpadurp/status/823031787211235328"
"Breen","Colorado","United States","1","1","","","Source 1 :  via email (JP)",NA,NA,"Breen, Colorado","Breen, Colorado, United States",NA,NA,NA
"Bridgewater","Massachusetts","United States","12","12","","","Source 1",NA,NA,"Bridgewater, Massachusetts","Bridgewater, Massachusetts, United States",NA,NA,"http://www.enterprisenews.com/news/20170121/bridgewater-residents-protest-trump---with-peace"
"Brighton","Michigan","United States","300","300","","","Source 1",NA,NA,"Brighton, Michigan","Brighton, Michigan, United States",NA,NA,"http://www.livingstondaily.com/story/news/local/2017/01/21/hundreds-rally-brighton-mill-pond/96884294/"
"Brattleboro","Vermont","United States","250","250","","","Source 1 :  FB",NA,NA,"Brattleboro, Vermont","Brattleboro, Vermont, United States",NA,NA,NA
"Brookings","Oregon","United States","250","300","","","Source 1 :  FB",NA,NA,"Brookings, Oregon","Brookings, Oregon, United States",NA,NA,NA
"Broomfield","Colorado","United States","100","200","","","Source 1 :  onsite eyewtiness took head count w photo via google form",NA,NA,"Broomfield, Colorado","Broomfield, Colorado, United States",NA,NA,NA
"Brownsville","Texas","United States","300","390","","","Source 1","Source 2 :  FB",NA,"Brownsville, Texas","Brownsville, Texas, United States",NA,NA,"http://www.brownsvilleherald.com/news/local/article_f670f8cc-e037-11e6-b9b5-9398a778b088.html"
"Brunswick","Maine","United States","300","400","","","Source 1 :  Press Herald","Source 2 :  organizer estimate submitted via google form",NA,"Brunswick, Maine","Brunswick, Maine, United States",NA,NA,NA
"Buffalo","New York","United States","2,500","3,000","","","Source 1","Source 2",NA,"Buffalo, New York","Buffalo, New York, United States",NA,"http://www.wgrz.com/mb/news/local/hundreds-gather-in-buffalo-for-womens-march/389611887","http://www.wgrz.com/mb/news/local/hundreds-gather-in-buffalo-for-womens-march/389611887"
"Burbank","California","United States","300","300","","","Source 1 :  myburbank.com",NA,NA,"Burbank, California","Burbank, California, United States",NA,NA,NA
"Burns","Oregon","United States","20","20","","","Source 1 :  FB",NA,NA,"Burns, Oregon","Burns, Oregon, United States",NA,NA,NA
"Burnsville","North Carolina","United States","80","80","","","Source 1 :  onsite eyewitness w photo headcount, via google form","Source 2 :  FB",NA,"Burnsville, North Carolina","Burnsville, North Carolina, United States",NA,NA,NA
"Cambridge","Minnesota","United States","22","22","","","Source 1 :  FB",NA,NA,"Cambridge, Minnesota","Cambridge, Minnesota, United States",NA,NA,NA
"Canton","New York","United States","135","300","","","Source 1","Source 2 :  onsite eyewitness who did headcount",NA,"Canton, New York","Canton, New York, United States",NA,NA,"https://twitter.com/matt_carotenuto/status/823121233659174912"
"Cape Henlopen","Delaware","United States","250","250","","","Source 1","Source 2",NA,"Cape Henlopen, Delaware","Cape Henlopen, Delaware, United States",NA,"http://www.capegazette.com/article/peaceful-march-along-lewes-beach-takes-stand-women’s-rights/124227","http://www.capegazette.com/article/peaceful-march-along-lewes-beach-takes-stand-women’s-rights/124227"
"Carbondale","Colorado","United States","200","700","","","Source 1","Source 2",NA,"Carbondale, Colorado","Carbondale, Colorado, United States",NA,"http://kdnk.org/post/cdale-march-pevec-perspective","http://www.postindependent.com/priority/main-carousel/women-march-in-colorado-dc-around-world-to-resist-trump/"
"Carbondale","Illinois","United States","1,000","1,785","","","Source 1","Source 2 :  eyewitness video count",NA,"Carbondale, Illinois","Carbondale, Illinois, United States",NA,NA,"http://thesouthern.com/news/local/communities/carbondale/hundreds-gather-in-carbondale-to-march-for-human-rights/article_616ca5a9-dd07-57da-9a8e-ee3a9317bd05.html"
"Carmel","California","United States","15","25","","","Source 1 :  onsite eyewitness headcount w photos via google form",NA,NA,"Carmel, California","Carmel, California, United States",NA,NA,NA
"Casper","Wyoming","United States","700","1,000","","","Source 1","Source 2",NA,"Casper, Wyoming","Casper, Wyoming, United States",NA,"https://pitchengine.com/oilcity/2017/01/21/caspers-womens-march--from-above/002519172678172300726","https://pitchengine.com/oilcity/2017/01/21/caspers-womens-march--from-above/002519172678172300726"
"Cathlamet","Washington","United States","2","2","","","Source 1",NA,NA,"Cathlamet, Washington","Cathlamet, Washington, United States",NA,NA,"https://twitter.com/emily_kintigh/status/823942819832172544"
"Cedaredge","Colorado","United States","","","","",NA,NA,NA,"Cedaredge, Colorado","Cedaredge, Colorado, United States",NA,NA,NA
"Champaign","Illinois","United States","5,000","5,800","","","Source 1","Source 2",NA,"Champaign, Illinois","Champaign, Illinois, United States",NA,"https://twitter.com/DucoLaw/status/823245457472290816","http://www.news-gazette.com/news/local/2017-01-21/womens-march-champaign.html"
"Charleston","South Carolina","United States","2,000","2,000","","","Source 1",NA,NA,"Charleston, South Carolina","Charleston, South Carolina, United States",NA,NA,"http://www.postandcourier.com/news/unity-activism-and-empowerment-at-charleston-women-s-march-where/article_34b81c38-dffb-11e6-9c2e-f30b0dc420c4.html"
"Charleston","West Virginia","United States","2,000","3,000","","","Source 1","Source 2",NA,"Charleston, West Virginia","Charleston, West Virginia, United States",NA,"http://www.wvgazettemail.com/news-politics/20170121/nearly-3000-march-for-women-at-wv-capitol","http://counton2.com/2017/01/20/womens-march-on-washington-plans-sister-march-in-charleston/"
"Charlotte","North Carolina","United States","20,000","30,000","","","Source 1 :  city police estimate reported to organizers, reported via google form","Source 2 :  city police estimate reported to organizers, reported via google form","Source 3","Charlotte, North Carolina","Charlotte, North Carolina, United States","https://t.co/lzdkCqRgmD",NA,NA
"Charlottesville","Virginia","United States","2,000","2,500","","","Source 1","Source 2 :  FB",NA,"Charlottesville, Virginia","Charlottesville, Virginia, United States",NA,NA,"http://www.dailyprogress.com/gallery/charlottesville-women-s-march/collection_1a2a4a98-e006-11e6-9753-7fa6fdc922ca.html"
"Chattanooga","Tennessee","United States","1,000","3,000","","","Source 1","Source 2 :  FB",NA,"Chattanooga, Tennessee","Chattanooga, Tennessee, United States",NA,NA,"http://www.timesfreepress.com/news/local/story/2017/jan/21/women-march-chattanooga-protest-trump-election/408743/"
"Chelan","Washington","United States","400","470","","","Source 1 :  local media reported via Google form","Source 2 :  FB",NA,"Chelan, Washington","Chelan, Washington, United States",NA,NA,NA
"Chesapeake Bay","Maryland","United States","1","1","","","Source 1 :  FB",NA,NA,"Chesapeake Bay, Maryland","Chesapeake Bay, Maryland, United States",NA,NA,NA
"Cheyenne","Wyoming","United States","1,200","2,000","","","Source 1","Source 2",NA,"Cheyenne, Wyoming","Cheyenne, Wyoming, United States",NA,"http://kgab.com/1500-2000-turn-out-for-cheyenne-womens-march/","http://www.wyomingnews.com/news/new-large-spirited-crowd-fills-women-s-march-in-cheyenne/article_193210e4-e029-11e6-b4f7-131f0601002f.html"
"Chicago","Illinois","United States","250,000","250,000","","","Source 1",NA,NA,"Chicago, Illinois","Chicago, Illinois, United States",NA,NA,"http://www.chicagotribune.com/news/ct-womens-march-chicago-0122-20170121-story.html"
"Chico","California","United States","1,000","3,000","","","Source 1 :  FB","Source 2","Source 3 :  Chico Enterprise Record","Chico, California","Chico, California, United States",NA,"https://twitter.com/pamboy712/status/823196047497248769",NA
"Chillicothe","Ohio","United States","1,000","1,000","","","Source 1",NA,NA,"Chillicothe, Ohio","Chillicothe, Ohio, United States",NA,NA,"https://twitter.com/JeffTClinton/status/822999960765530113"
"Christiansted","Virgin Islands","United States","350","550","","","Source 1 :  US Park Service, Fort Christianvaarn Historic Site, Christiansted",NA,NA,"Christiansted, Virgin Islands","Christiansted, Virgin Islands, United States",NA,NA,NA
"Cincinnati","Ohio","United States","5,000","12,000","","","Source 1","Source 2","Source 3","Cincinnati, Ohio","Cincinnati, Ohio, United States","https://www.youtube.com/watch?v=eNz6AZVa4hw","https://www.facebook.com/TimothySwallow/posts/10154745484801251","http://www.wlwt.com/article/thousands-fill-washington-park-as-part-of-nationwide-equal-rights-movement/8625720"
"Clare","Michigan","United States","24","75","","","Source 1","Source 2 :  Eyewitness report",NA,"Clare, Michigan","Clare, Michigan, United States",NA,NA,"http://www.themorningsun.com/general-news/20170121/hope-strength-unity-topics-at-the-clare-peoples-rally"
"Clarion","Pennsylvania","United States","65","100","","","Source 1","Source 2 :  onsite eyewitness with headcount",NA,"Clarion, Pennsylvania","Clarion, Pennsylvania, United States",NA,NA,"http://www.theclarionnews.com/news/local/article_1731f243-d54b-5d9c-89e5-4b8fc3196cc5.html"
"Clemson","South Carolina","United States","500","500","","","Source 1",NA,NA,"Clemson, South Carolina","Clemson, South Carolina, United States",NA,NA,"http://www.independentmail.com/story/news/local/south-carolina/2017/01/21/clemson-march-draws-500-support-womens-rights/96886286/"
"Cleveland","Ohio","United States","15,000","15,000","","","Source 1",NA,NA,"Cleveland, Ohio","Cleveland, Ohio, United States",NA,NA,"http://www.cleveland.com/metro/index.ssf/2017/01/womens_march_on_cleveland_a_vo.html#incart_big-photo"
"Cobb","California","United States","2","2","","","Source 1 :  FB",NA,NA,"Cobb, California","Cobb, California, United States",NA,NA,NA
"Cobleskill","New York","United States","350","350","","","Source 1","Source 2 :  FB",NA,"Cobleskill, New York","Cobleskill, New York, United States",NA,NA,"http://www.timesjournalonline.com/article.asp?id=101580"
"Cody","Wyoming","United States","400","500","","","Source 1","Source 2 :  Colorado Springs Gazette",NA,"Cody, Wyoming","Cody, Wyoming, United States",NA,NA,"http://www.kcwy13.com/content/news/Four-Hundred-Joined-the-Cody-Womens-March-Over-the-Weekend--411538625.html"
"College Station","Texas","United States","50","50","","","Source 1","Source 2",NA,"College Station, Texas","College Station, Texas, United States",NA,"http://www.theeagle.com/news/local/dozens-turn-out-for-women-s-march-at-texas-a/article_c3720eee-563f-5b4f-abfc-bf066330073b.html","http://www.kbtx.com/content/news/College-Station-group-holds-womens-march--411430985.html"
"Colorado Springs","Colorado","United States","7,000","7,000","","","Source 1","Source 2 :  FB",NA,"Colorado Springs, Colorado","Colorado Springs, Colorado, United States",NA,NA,"http://gazette.com/thousands-march-in-colorado-springs-in-protest-a-day-after-president-trumps-inauguration/article/1594846"
"Columbia","Maryland","United States","100","125","","","Source 1","Source 2 :  Eyewitness report",NA,"Columbia, Maryland","Columbia, Maryland, United States",NA,NA,"https://www.facebook.com/events/408844556120175/"
