"Place","State","Country","EstimateLow","EstimateHigh","Estimate3","DiffDate","Source1","Source2","Source3","Location","FullLocation","Source3Link","Source2Link","Source1Link"
"Christchurch","","New Zealand","368","400","","","Source 1 :  FB group headcount  ","Source 2",NA,"Christchurch, New Zealand","Christchurch, New Zealand",NA,"http://www.radionz.co.nz/news/national/322798/nz-leads-marches-for-women's-rights",NA
"Coimbra","","Portugal","150","170","","","Source 1",NA,NA,"Coimbra, Portugal","Coimbra, Portugal",NA,NA,"https://www.facebook.com/events/396803613988924/permalink/401542493515036/"
"Copenhagen","","Denmark","2,500","5,000","","","Source 1","Source 2",NA,"Copenhagen, Denmark","Copenhagen, Denmark",NA,"http://www.thelocal.dk/20170121/5000-join-womens-march-in-copenhagen","http://www.dr.dk/nyheder/indland/march-deltager-jeg-har-strikket-pussy-hatte-til-veninderne-i-protest-mod-trump"
"Courtenay","","Canada","400","500","","","Source 1 :  FB group",NA,NA,"Courtenay, Canada","Courtenay, Canada",NA,NA,NA
"Cuenca","","Ecuador","50","70","","","Source 1","Source 2",NA,"Cuenca, Ecuador","Cuenca, Ecuador",NA,"https://www.cuencahighlife.com/cuenca-women-protest-sexual-discrimination-donald-trump/","http://zeromagecuador.com/en/womens-march-in-cuenca-pussyhats-personal-stories-solidarity/"
"Da Nang","","Vietnam","7","7","","","Source 1 :  organizer headcount via google forms",NA,NA,"Da Nang, Vietnam","Da Nang, Vietnam",NA,NA,NA
"Dar Es Salaam","","Tanzania","100","100","","","Source 1 :  FB",NA,NA,"Dar Es Salaam, Tanzania","Dar Es Salaam, Tanzania",NA,NA,NA
"Dili","","Timor-Leste","100","100","","","Source 1 :  FB group w photo w headcount",NA,NA,"Dili, Timor-Leste","Dili, Timor-Leste",NA,NA,NA
"Doha","","Qatar","290","340","","","Source 1",NA,NA,"Doha, Qatar","Doha, Qatar",NA,NA,"https://twitter.com/susiebillings/status/823571989575204864"
"Dublin","","Ireland","2,000","6,000","","","Source 1","Source 2",NA,"Dublin, Ireland","Dublin, Ireland",NA,"http://www.irishtimes.com/news/ireland/irish-news/anti-trump-marchers-downbeat-but-defiant-in-dublin-1.2946422#.WIO_mewDflE.twitter","http://www.thejournal.ie/trump-womens-march-3198425-Jan2017/"
